NExScI Disposition,KOI Name,Kepler Name,Planet Radius,Stellar Radius,Metallicity,Stellar Mass
CONFIRMED,K00999.01,Kepler-263 b,2.540,0.716,-0.180,0.749
CONFIRMED,K00999.02,Kepler-263 c,2.180,0.716,-0.180,0.749
FALSE POSITIVE,K04934.01,,17.970,0.720,-0.100,0.803
FALSE POSITIVE,K03735.01,,68.480,1.418,-0.280,1.190
FALSE POSITIVE,K01028.01,,34.000,1.707,0.020,1.122
FALSE POSITIVE,K06261.01,,24.620,1.781,0.020,1.558
FALSE POSITIVE,K03670.01,,126.540,9.278,-0.040,1.808
CANDIDATE,K08085.01,,1.700,0.975,-0.580,0.830
CANDIDATE,K07628.01,,0.690,0.700,-0.320,0.743
CANDIDATE,K06263.01,,3.330,4.233,0.060,1.830
CONFIRMED,K00988.01,Kepler-261 b,2.180,0.780,0.020,0.816
CONFIRMED,K00988.02,Kepler-261 c,2.820,0.780,0.020,0.816
FALSE POSITIVE,K07629.01,,0.940,0.998,0.180,1.088
CANDIDATE,K07630.01,,0.780,0.521,-0.200,0.538
CANDIDATE,K04709.01,,1.330,0.771,-0.200,0.864
CONFIRMED,K02033.01,Kepler-1064 b,1.570,0.769,0.000,0.806
FALSE POSITIVE,K04935.01,,3.040,0.956,-0.220,0.967
FALSE POSITIVE,K06264.01,,217.250,1.863,0.220,1.396
FALSE POSITIVE,K04936.01,,45.750,0.864,-0.580,0.811
CANDIDATE,K02610.01,,2.740,2.517,-0.080,1.502
CANDIDATE,K02610.02,,4.020,2.517,-0.080,1.502
FALSE POSITIVE,K06265.01,,81.210,1.217,-0.300,0.907
CANDIDATE,K00151.01,,5.240,1.041,-0.320,1.001
FALSE POSITIVE,K03549.01,,57.350,0.806,-0.160,0.903
CONFIRMED,K02053.01,Kepler-356 c,1.990,1.277,0.000,1.094
CONFIRMED,K02053.02,Kepler-356 b,1.600,1.277,0.000,1.094
FALSE POSITIVE,K07631.01,,1.100,1.198,0.210,1.273
FALSE POSITIVE,K06266.01,,177.780,3.211,-0.040,1.520
FALSE POSITIVE,K01004.01,,4.860,0.940,0.140,1.038
FALSE POSITIVE,K05982.01,,57.600,1.055,-0.300,0.861
FALSE POSITIVE,K01020.01,,38.810,1.255,0.000,1.095
FALSE POSITIVE,K04937.01,,25.260,1.114,-0.040,1.033
CANDIDATE,K04938.01,,2.370,1.076,-0.100,1.126
CANDIDATE,K06267.01,,1.120,0.790,-0.540,0.718
FALSE POSITIVE,K02682.01,,54.600,1.000,0.000,1.000
FALSE POSITIVE,K03712.01,,928.960,23.673,0.070,2.799
FALSE POSITIVE,K03461.01,,2.040,0.715,-0.100,0.723
FALSE POSITIVE,K03461.02,,0.810,0.715,-0.100,0.723
FALSE POSITIVE,K03598.01,,55.070,0.796,-0.020,0.893
FALSE POSITIVE,K04939.01,,56.940,5.303,0.100,1.366
FALSE POSITIVE,K06268.01,,34.030,0.798,-0.300,0.868
FALSE POSITIVE,K03920.01,,85.840,9.043,0.000,1.549
FALSE POSITIVE,K02671.01,,59.500,1.000,0.000,1.000
FALSE POSITIVE,K03745.01,,1044.280,1.000,0.000,1.000
FALSE POSITIVE,K06269.01,,37.370,16.755,0.380,2.185
FALSE POSITIVE,K04909.01,,0.740,0.661,-0.220,0.647
FALSE POSITIVE,K06270.01,,48.180,1.000,0.000,1.000
FALSE POSITIVE,K06271.01,,44.350,1.000,0.000,1.000
FALSE POSITIVE,K00363.01,,38.290,1.428,0.060,0.983
CONFIRMED,K00440.01,Kepler-156 c,2.350,0.797,0.080,0.829
CONFIRMED,K00440.02,Kepler-156 b,2.460,0.797,0.080,0.829
FALSE POSITIVE,K04941.01,,3.690,0.990,0.040,0.847
FALSE POSITIVE,K03699.01,,27.770,0.849,-0.140,0.864
FALSE POSITIVE,K01003.01,,40.350,2.445,0.340,1.343
CANDIDATE,K01944.01,,2.590,1.068,0.060,0.984
FALSE POSITIVE,K01944.02,,1.490,1.068,0.060,0.984
FALSE POSITIVE,K06272.01,,1.270,0.875,-0.060,0.835
CONFIRMED,K02280.01,Kepler-1172 b,4.530,1.244,0.040,0.931
FALSE POSITIVE,K00792.01,,46.580,1.339,0.020,1.083
FALSE POSITIVE,K00603.01,,35.900,1.125,0.040,0.878
FALSE POSITIVE,K03642.01,,37.560,0.687,-0.480,0.765
CONFIRMED,K00166.01,Kepler-479 b,2.200,0.795,0.000,0.840
FALSE POSITIVE,K01000.01,,0.820,0.873,-0.340,0.958
FALSE POSITIVE,K06273.01,,32.570,0.542,-0.100,0.546
FALSE POSITIVE,K03997.01,,18.090,2.648,-0.080,1.211
CONFIRMED,K02812.01,Kepler-1354 b,2.610,1.030,-0.280,0.988
CANDIDATE,K02603.01,,1.770,1.502,0.100,1.284
CANDIDATE,K00103.01,,2.620,0.899,-0.040,0.932
FALSE POSITIVE,K00793.01,,28.590,1.060,0.070,1.050
FALSE POSITIVE,K05983.01,,50.830,1.314,-0.200,1.057
FALSE POSITIVE,K01023.01,,1.710,0.621,-0.260,0.662
FALSE POSITIVE,K00053.01,,10.720,1.000,0.000,1.000
FALSE POSITIVE,K00379.01,,2.780,1.683,0.140,1.285
CANDIDATE,K00379.02,,1.830,1.683,0.140,1.285
FALSE POSITIVE,K07632.01,,1.540,1.080,-0.160,1.065
FALSE POSITIVE,K03674.01,,40.630,0.819,-0.500,0.922
FALSE POSITIVE,K07633.01,,2.090,0.935,0.210,0.869
FALSE POSITIVE,K00378.01,,32.920,1.700,0.020,1.141
FALSE POSITIVE,K03702.01,,54.290,1.000,0.000,1.000
CANDIDATE,K06274.01,,1.500,1.026,-0.060,1.092
CANDIDATE,K02009.01,,2.230,0.970,0.000,0.901
FALSE POSITIVE,K03687.01,,24.010,0.894,-0.560,0.771
FALSE POSITIVE,K00380.01,,4.830,1.455,-0.200,1.230
CONFIRMED,K02156.01,Kepler-1124 b,1.660,0.433,-0.280,0.463
CANDIDATE,K06276.01,,0.640,0.410,-0.200,0.427
FALSE POSITIVE,K06277.01,,72.320,1.524,-0.340,1.117
CONFIRMED,K00488.01,Kepler-575 b,2.030,0.808,-0.660,0.741
CANDIDATE,K04655.01,,1.150,0.791,-0.600,0.865
FALSE POSITIVE,K01021.01,,18.930,0.714,-0.440,0.792
FALSE POSITIVE,K03855.01,,54.230,1.000,0.000,1.000
FALSE POSITIVE,K06278.01,,46.020,1.955,-0.200,1.571
FALSE POSITIVE,K04944.01,,22.880,7.912,0.220,0.981
FALSE POSITIVE,K03704.01,,38.950,0.866,-0.080,0.804
FALSE POSITIVE,K04945.01,,2.420,2.715,-0.080,1.807
FALSE POSITIVE,K07634.01,,15.110,1.597,0.460,1.089
FALSE POSITIVE,K04946.01,,25.670,0.952,0.240,0.968
FALSE POSITIVE,K06279.01,,0.420,0.733,-0.240,0.709
FALSE POSITIVE,K06280.01,,1.190,1.977,-1.920,0.749
FALSE POSITIVE,K04376.01,,19.960,0.707,0.000,0.734
CONFIRMED,K00084.01,Kepler-19 b,2.100,0.810,-0.140,0.907
CANDIDATE,K04581.01,,0.730,1.160,-0.040,1.050
FALSE POSITIVE,K02648.01,,1.880,1.519,-0.040,1.256
FALSE POSITIVE,K03217.01,,2.140,4.146,-0.100,1.893
FALSE POSITIVE,K01025.01,,10.050,0.440,-0.200,0.459
CANDIDATE,K01030.01,,2.790,1.252,0.240,1.273
FALSE POSITIVE,K04947.01,,403.010,13.652,-0.180,2.031
FALSE POSITIVE,K03709.01,,42.690,0.915,-0.500,1.000
FALSE POSITIVE,K00489.01,,3.230,1.276,0.210,1.334
FALSE POSITIVE,K06282.01,,110.850,1.642,-0.320,0.951
CANDIDATE,K07635.01,,1.590,1.181,0.020,1.008
FALSE POSITIVE,K04629.01,,25.970,0.804,-0.320,0.896
FALSE POSITIVE,K04948.01,,30.470,46.169,-0.220,0.893
CANDIDATE,K02064.01,,2.170,1.075,-0.120,1.124
FALSE POSITIVE,K06283.01,,57.950,0.917,0.060,0.907
FALSE POSITIVE,K02203.01,,1.170,1.005,-0.160,1.072
CONFIRMED,K03681.01,Kepler-1514 b,11.170,1.167,0.140,1.210
CANDIDATE,K03681.02,,1.250,1.167,0.140,1.210
CONFIRMED,K03835.01,Kepler-1521 b,2.580,0.734,-0.140,0.746
FALSE POSITIVE,K06284.01,,49.160,1.365,-0.320,0.954
CONFIRMED,K01031.01,Kepler-754 b,1.640,0.966,-0.160,0.983
CONFIRMED,K00299.01,Kepler-98 b,1.880,1.089,0.180,0.940
FALSE POSITIVE,K06285.01,,116.520,2.070,0.100,1.380
CONFIRMED,K01976.01,Kepler-1034 b,2.370,0.870,0.160,0.813
FALSE POSITIVE,K04600.01,,1.290,1.485,0.240,1.046
FALSE POSITIVE,K00400.01,,14.000,0.968,-0.360,0.939
CANDIDATE,K07636.01,,0.730,0.836,-0.040,0.819
FALSE POSITIVE,K03161.01,,54.540,1.666,0.180,1.470
FALSE POSITIVE,K03853.01,,534.470,3.318,-0.140,1.294
FALSE POSITIVE,K06095.01,,46.440,1.000,0.000,1.000
FALSE POSITIVE,K04950.01,,1.200,0.589,-0.700,0.579
FALSE POSITIVE,K03253.01,,2.030,3.460,-0.200,2.010
FALSE POSITIVE,K06286.01,,399.930,4.662,0.070,3.471
FALSE POSITIVE,K06287.01,,6.570,0.627,-0.140,0.622
FALSE POSITIVE,K04045.01,,0.810,0.927,-1.520,0.805
FALSE POSITIVE,K04352.01,,23.500,0.794,0.120,0.767
FALSE POSITIVE,K04951.01,,23.600,14.894,-0.340,0.870
FALSE POSITIVE,K04102.01,,0.930,0.927,0.400,0.933
FALSE POSITIVE,K04071.01,,6.400,1.120,-0.320,0.824
FALSE POSITIVE,K04111.01,,0.900,0.633,-0.320,0.618
FALSE POSITIVE,K04003.01,,0.860,0.893,-0.180,0.935
FALSE POSITIVE,K06288.01,,164.490,6.860,-1.140,0.784
FALSE POSITIVE,K06289.01,,48.130,1.078,-0.280,1.114
FALSE POSITIVE,K02907.01,,1.390,0.862,-0.040,0.862
FALSE POSITIVE,K04532.01,,0.640,1.106,0.040,0.968
FALSE POSITIVE,K06290.01,,54.360,1.371,-0.280,1.147
FALSE POSITIVE,K04953.01,,515.070,16.274,0.070,3.063
FALSE POSITIVE,K07637.01,,0.730,0.754,0.140,0.848
FALSE POSITIVE,K04746.01,,0.750,0.722,-0.160,0.710
FALSE POSITIVE,K08086.01,,1.360,1.401,-0.100,1.172
CONFIRMED,K00794.01,Kepler-683 b,2.060,1.062,0.140,0.921
CONFIRMED,K01024.01,Kepler-753 b,1.860,0.632,-0.060,0.637
CANDIDATE,K03077.01,,1.640,0.742,0.070,0.759
CANDIDATE,K03077.02,,1.460,0.742,0.070,0.759
CONFIRMED,K03053.01,Kepler-1419 b,2.450,0.914,-0.100,1.006
CANDIDATE,K03053.02,,1.380,0.914,-0.100,1.006
CONFIRMED,K01022.01,Kepler-752 b,2.700,0.860,-0.120,0.930
FALSE POSITIVE,K01022.02,,2.350,0.860,-0.120,0.930
CANDIDATE,K03459.01,,1.750,0.863,-0.280,0.953
CANDIDATE,K02489.01,,1.820,0.849,-0.180,0.939
FALSE POSITIVE,K06096.01,,27.660,0.658,-0.780,0.663
FALSE POSITIVE,K06292.01,,40.000,1.506,-0.540,1.092
FALSE POSITIVE,K02979.01,,1.150,1.108,-0.080,1.066
CONFIRMED,K01094.01,Kepler-766 b,2.590,0.937,-0.080,1.026
FALSE POSITIVE,K04387.01,,0.840,0.989,-0.260,0.944
CONFIRMED,K04400.01,Kepler-1601 b,0.840,1.092,-0.020,1.032
FALSE POSITIVE,K04702.01,,0.930,1.041,-0.200,1.013
CANDIDATE,K01942.01,,2.670,0.778,-0.040,0.869
CANDIDATE,K01942.02,,1.660,0.778,-0.040,0.869
CANDIDATE,K06293.01,,1.210,1.084,-0.140,1.048
CANDIDATE,K07638.01,,1.470,1.685,0.000,1.176
CONFIRMED,K01110.01,Kepler-771 b,1.590,0.960,-0.040,1.047
FALSE POSITIVE,K01110.02,,0.840,0.960,-0.040,1.047
CANDIDATE,K03416.01,,1.250,0.803,-0.180,0.899
CONFIRMED,K01116.01,Kepler-773 b,1.680,0.983,0.060,0.987
FALSE POSITIVE,K04956.01,,,,,
FALSE POSITIVE,K01104.01,,1.250,0.711,0.210,0.815
FALSE POSITIVE,K03446.01,,2.240,1.046,0.070,1.143
FALSE POSITIVE,K06294.01,,51.580,0.785,-0.260,0.878
CANDIDATE,K04298.01,,1.160,1.684,-0.180,1.418
CANDIDATE,K03259.01,,2.450,0.902,0.140,0.875
CONFIRMED,K01099.01,Kepler-767 b,8.190,1.213,0.160,1.033
CANDIDATE,K01118.01,,2.670,1.070,-0.140,0.982
CANDIDATE,K02081.01,,4.270,3.152,0.020,1.501
FALSE POSITIVE,K02896.01,,31.060,1.508,-0.120,1.135
CANDIDATE,K02232.01,,3.870,1.016,0.160,0.921
CANDIDATE,K02232.02,,1.730,1.016,0.160,0.921
CONFIRMED,K00986.01,Kepler-260 b,1.920,0.849,0.000,0.821
CONFIRMED,K00986.02,Kepler-260 c,1.750,0.849,0.000,0.821
FALSE POSITIVE,K07639.01,,0.450,0.751,-0.080,0.748
CONFIRMED,K01113.01,Kepler-268 b,2.480,1.225,0.060,1.059
CONFIRMED,K01113.02,Kepler-268 c,2.730,1.225,0.060,1.059
FALSE POSITIVE,K03786.01,,37.620,0.786,-0.360,0.870
FALSE POSITIVE,K06295.01,,8.990,0.727,-0.120,0.737
CANDIDATE,K04659.01,,1.250,0.837,-0.300,0.928
FALSE POSITIVE,K07640.01,,1.480,1.114,-0.100,1.038
FALSE POSITIVE,K02170.01,,2.290,0.837,-0.120,0.774
FALSE POSITIVE,K06296.01,,59.940,2.634,-0.160,1.695
CANDIDATE,K04857.01,,1.170,0.927,-0.180,1.006
FALSE POSITIVE,K06297.01,,34.050,0.967,-0.200,0.822
FALSE POSITIVE,K02277.01,,17.880,1.846,-0.100,1.411
CANDIDATE,K01103.01,,7.120,1.215,0.070,1.279
CANDIDATE,K04957.02,,0.730,0.395,-0.200,0.413
FALSE POSITIVE,K06298.01,,,,,
CANDIDATE,K06299.01,,0.670,0.840,0.070,0.955
FALSE POSITIVE,K03993.01,,35.300,1.000,0.000,1.000
CANDIDATE,K03034.01,,1.660,0.480,-0.100,0.488
FALSE POSITIVE,K06300.01,,82.030,1.333,-0.120,1.102
CONFIRMED,K01788.01,Kepler-951 b,5.760,0.778,0.120,0.769
FALSE POSITIVE,K01788.02,,3.070,0.778,0.120,0.769
CANDIDATE,K04849.01,,0.620,0.702,-0.560,0.779
CANDIDATE,K07641.01,,1.360,1.507,-0.180,0.877
CANDIDATE,K02807.01,,2.340,1.282,-0.080,1.122
CONFIRMED,K02032.01,Kepler-1063 b,2.080,1.547,0.140,1.092
CANDIDATE,K04875.01,,0.650,0.555,0.140,0.591
CONFIRMED,K00197.01,Kepler-489 b,7.310,0.738,0.000,0.790
FALSE POSITIVE,K04959.01,,62.760,1.197,-0.260,1.086
CONFIRMED,K01824.01,Kepler-323 c,1.620,1.081,-0.120,0.998
CONFIRMED,K01824.02,Kepler-323 b,1.570,1.081,-0.120,0.998
FALSE POSITIVE,K02692.01,,2.450,0.787,-0.400,0.840
CONFIRMED,K02335.01,Kepler-1194 b,1.510,0.925,0.000,0.900
CANDIDATE,K06301.01,,2.940,1.215,0.070,1.279
CONFIRMED,K03379.01,Kepler-1484 b,2.600,0.984,-0.300,1.047
FALSE POSITIVE,K03814.01,,32.260,9.828,0.070,2.707
FALSE POSITIVE,K06098.01,,120.130,7.102,0.160,1.775
CANDIDATE,K04389.01,,1.270,0.859,-0.100,0.834
FALSE POSITIVE,K06302.01,,74.250,2.474,-0.340,1.368
FALSE POSITIVE,K02540.01,,1.570,0.795,0.320,0.780
CANDIDATE,K02380.01,,1.590,0.960,-0.040,1.047
FALSE POSITIVE,K07642.01,,1.410,1.098,0.040,1.065
FALSE POSITIVE,K06099.01,,25.680,0.788,-0.220,0.882
FALSE POSITIVE,K01119.01,,0.650,0.874,0.040,0.869
FALSE POSITIVE,K01119.02,,0.620,0.874,0.040,0.869
FALSE POSITIVE,K00264.01,,1.770,1.651,0.080,1.127
FALSE POSITIVE,K03648.01,,47.580,1.078,-0.060,1.028
CANDIDATE,K02186.01,,3.790,0.853,0.140,0.803
FALSE POSITIVE,K01091.01,,9.840,1.086,-0.160,1.129
FALSE POSITIVE,K06303.01,,71.420,1.073,-0.020,0.867
FALSE POSITIVE,K03362.01,,43.010,0.787,-0.560,0.874
CANDIDATE,K04844.01,,0.870,0.775,-0.180,0.805
CANDIDATE,K01878.01,,3.440,1.300,0.260,1.241
CANDIDATE,K04963.01,,1.650,1.209,-0.540,0.961
CANDIDATE,K03483.01,,2.080,1.242,0.160,1.135
FALSE POSITIVE,K03373.01,,22.310,0.863,-0.280,0.953
FALSE POSITIVE,K06304.01,,41.840,0.668,-0.780,0.653
FALSE POSITIVE,K07643.01,,0.710,1.015,-0.200,0.829
CONFIRMED,K00273.01,Kepler-454 b,2.070,1.080,0.340,1.067
CANDIDATE,K04145.01,,0.960,1.004,0.080,0.968
CONFIRMED,K04091.01,Kepler-1550 b,3.710,1.363,0.300,1.185
CANDIDATE,K04395.01,,1.120,0.741,-0.220,0.830
CANDIDATE,K03225.01,,0.800,1.286,0.070,0.911
CANDIDATE,K01112.01,,2.330,0.973,-0.280,0.976
FALSE POSITIVE,K04720.01,,1.790,0.820,-0.140,0.917
CANDIDATE,K07644.01,,0.810,0.929,-0.260,0.876
FALSE POSITIVE,K06305.01,,0.730,0.884,-0.520,0.781
CANDIDATE,K04144.01,,0.990,0.937,-0.080,1.026
FALSE POSITIVE,K01088.01,,26.930,0.706,-0.480,0.731
CONFIRMED,K00795.01,Kepler-684 b,2.770,0.679,-0.840,0.767
FALSE POSITIVE,K00796.01,,27.510,0.636,-0.720,0.709
FALSE POSITIVE,K03763.01,,43.700,0.616,-0.280,0.604
CONFIRMED,K01117.01,Kepler-774 b,3.510,2.867,-0.100,1.497
FALSE POSITIVE,K06306.01,,62.550,1.396,0.320,1.306
CANDIDATE,K00797.01,,7.730,0.836,-0.520,0.885
CONFIRMED,K01115.01,Kepler-772 b,2.030,1.242,0.000,0.968
FALSE POSITIVE,K04114.01,,2.370,1.047,-0.240,1.094
CONFIRMED,K01950.01,Kepler-1024 b,3.440,0.759,-0.220,0.851
FALSE POSITIVE,K02784.01,,1.820,2.124,-0.960,1.113
FALSE POSITIVE,K01111.01,,1.810,0.853,-0.100,0.950
FALSE POSITIVE,K03380.01,,1.650,0.980,0.080,1.006
FALSE POSITIVE,K06307.01,,61.450,1.423,0.160,1.090
CONFIRMED,K02099.01,Kepler-1094 b,3.370,1.284,0.160,1.039
FALSE POSITIVE,K04965.01,,1.390,0.805,-0.040,0.902
FALSE POSITIVE,K00798.01,,21.550,0.811,-0.020,0.853
CONFIRMED,K03277.01,Kepler-1452 b,3.190,2.483,0.180,1.419
FALSE POSITIVE,K03945.01,,52.160,2.897,-0.720,0.812
CANDIDATE,K03203.01,,3.190,2.467,-0.180,1.380
CANDIDATE,K02490.01,,1.880,0.701,-0.140,0.686
FALSE POSITIVE,K01949.01,,17.900,0.998,-0.580,0.772
FALSE POSITIVE,K01087.01,,36.870,1.133,-0.020,1.152
FALSE POSITIVE,K03918.01,,115.310,1.000,0.000,1.000
FALSE POSITIVE,K04187.01,,1.420,1.259,-0.380,1.005
FALSE POSITIVE,K06308.01,,85.640,1.718,-0.220,1.179
CONFIRMED,K02055.01,Kepler-1073 b,2.560,1.116,0.160,0.924
CONFIRMED,K02055.02,Kepler-1073 c,1.790,1.116,0.160,0.924
CANDIDATE,K02055.03,,1.480,1.116,0.160,0.924
FALSE POSITIVE,K01786.01,,48.040,5.132,0.140,0.950
CANDIDATE,K07645.01,,0.550,0.759,-0.500,0.705
FALSE POSITIVE,K01105.01,,7.470,4.434,-0.480,1.657
FALSE POSITIVE,K02773.01,,1.570,0.937,-0.220,0.877
CONFIRMED,K00401.01,Kepler-149 b,4.150,0.940,0.280,0.934
CONFIRMED,K00401.02,Kepler-149 d,4.280,0.940,0.280,0.934
CONFIRMED,K00401.03,Kepler-149 c,1.670,0.940,0.280,0.934
FALSE POSITIVE,K07646.01,,2.210,0.975,-0.040,1.058
CONFIRMED,K01108.01,Kepler-770 b,13.920,4.885,0.400,1.808
CONFIRMED,K01108.02,Kepler-770 c,5.880,4.885,0.400,1.808
CONFIRMED,K01108.03,Kepler-770 d,7.620,4.885,0.400,1.808
CANDIDATE,K03395.01,,1.110,0.924,-0.380,0.884
FALSE POSITIVE,K03072.01,,1.950,0.806,-0.120,0.758
CONFIRMED,K02314.01,Kepler-1187 b,2.670,0.949,-0.200,1.028
FALSE POSITIVE,K04966.01,,39.730,18.427,0.210,3.402
CANDIDATE,K04548.01,,1.610,1.015,0.160,1.044
FALSE POSITIVE,K06309.01,,0.570,1.078,-0.140,0.994
FALSE POSITIVE,K03996.01,,14.430,0.826,-0.040,0.926
FALSE POSITIVE,K01100.01,,1.450,0.711,-0.100,0.714
FALSE POSITIVE,K04055.01,,0.880,1.587,0.120,1.336
FALSE POSITIVE,K02917.01,,1.370,1.067,-0.020,1.085
FALSE POSITIVE,K01107.01,,17.120,0.848,-0.300,0.938
FALSE POSITIVE,K04031.01,,1.270,1.191,0.140,1.204
FALSE POSITIVE,K03992.01,,15.830,0.837,-0.220,0.927
FALSE POSITIVE,K06100.01,,0.990,1.463,0.120,1.107
CANDIDATE,K02150.01,,29.330,0.938,-0.060,1.028
CANDIDATE,K02150.02,,72.590,0.938,-0.060,1.028
FALSE POSITIVE,K07647.01,,1.100,0.776,-0.240,0.869
FALSE POSITIVE,K06310.01,,1.540,0.911,-0.140,1.001
FALSE POSITIVE,K06311.01,,119.640,2.321,-0.200,1.845
FALSE POSITIVE,K00381.01,,9.570,1.536,-0.340,1.185
FALSE POSITIVE,K02928.01,,1.240,0.831,0.120,0.914
FALSE POSITIVE,K06101.01,,93.520,1.554,-0.280,0.966
CANDIDATE,K03068.01,,0.850,0.686,-0.220,0.759
CANDIDATE,K03068.02,,0.840,0.686,-0.220,0.759
FALSE POSITIVE,K03643.01,,40.370,0.969,-0.180,0.910
FALSE POSITIVE,K00382.01,,23.780,0.955,-0.520,1.006
CONFIRMED,K01102.01,Kepler-24 c,4.120,1.240,-0.360,0.884
CONFIRMED,K01102.02,Kepler-24 b,3.430,1.240,-0.360,0.884
CONFIRMED,K01102.03,Kepler-24 e,43.170,1.240,-0.360,0.884
CONFIRMED,K01102.04,Kepler-24 d,2.070,1.240,-0.360,0.884
CANDIDATE,K07648.01,,0.800,0.746,0.120,0.791
FALSE POSITIVE,K01090.01,,72.520,1.795,0.080,1.299
FALSE POSITIVE,K00966.01,,59.560,1.783,-0.060,0.905
CONFIRMED,K02413.01,Kepler-383 b,1.490,0.722,0.160,0.712
CONFIRMED,K02413.02,Kepler-383 c,1.470,0.722,0.160,0.712
CONFIRMED,K03057.01,Kepler-405 c,3.020,0.877,-0.120,0.973
